,Node,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Centrality,Upper limit,Lower limit,Values
139,208293,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.6206896551724138), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
140,133533,Input,anuran,Input networks,,,Betweenness,1,0.10140320328799524,"[('arctic_genus_flash.graphml', 0.7068965517241379), ('arctic_genus_spiec.graphml', 0.8103448275862069)]"
141,211848,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
142,112867,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.4482758620689655), ('arctic_genus_spiec.graphml', 0.8448275862068966)]"
143,4402520,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
144,4411,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.9137931034482759), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
145,607006,Input,anuran,Input networks,,,Betweenness,1,0.8818430626169645,"[('arctic_genus_flash.graphml', 0.9827586206896551), ('arctic_genus_spiec.graphml', 1.0)]"
146,3431064,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.5), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
147,148890,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
148,1088618,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
149,524203,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
150,3174304,Input,anuran,Input networks,,,Betweenness,0.7165397776663471,0.05932229129917005,"[('arctic_genus_flash.graphml', 0.41379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
151,512006,Input,anuran,Input networks,,,Betweenness,1,0.2738169963914435,"[('arctic_genus_flash.graphml', 0.8793103448275862), ('arctic_genus_spiec.graphml', 0.9827586206896551)]"
152,2300392,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
