,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
193,Random,sponges_networks,Random networks,,,Intersection 0.2,108,2.0,10.0
194,Random,sponges_networks,Random networks,,,Intersection 0.3,15,3.0,10.0
195,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
196,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
197,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
198,Degree,sponges_networks,Degree networks,,,Difference,836,,10.0
199,Degree,sponges_networks,Degree networks,,,Intersection 0.2,122,2.0,10.0
200,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
201,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
202,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
203,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
204,Random,sponges_networks,Random networks,,,Difference,843,,10.0
205,Random,sponges_networks,Random networks,,,Intersection 0.2,122,2.0,10.0
206,Random,sponges_networks,Random networks,,,Intersection 0.3,13,3.0,10.0
207,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
208,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
209,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
210,Degree,sponges_networks,Degree networks,,,Difference,841,,10.0
211,Degree,sponges_networks,Degree networks,,,Intersection 0.2,120,2.0,10.0
212,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
213,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
214,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
215,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
216,Random,sponges_networks,Random networks,,,Difference,878,,10.0
217,Random,sponges_networks,Random networks,,,Intersection 0.2,108,2.0,10.0
218,Random,sponges_networks,Random networks,,,Intersection 0.3,7,3.0,10.0
219,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
220,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
221,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
222,Degree,sponges_networks,Degree networks,,,Difference,806,,10.0
223,Degree,sponges_networks,Degree networks,,,Intersection 0.2,138,2.0,10.0
224,Degree,sponges_networks,Degree networks,,,Intersection 0.3,19,3.0,10.0
225,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
226,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
227,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
228,Random,sponges_networks,Random networks,,,Difference,855,,10.0
229,Random,sponges_networks,Random networks,,,Intersection 0.2,113,2.0,10.0
230,Random,sponges_networks,Random networks,,,Intersection 0.3,19,3.0,10.0
231,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
232,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
233,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
234,Degree,sponges_networks,Degree networks,,,Difference,777,,10.0
235,Degree,sponges_networks,Degree networks,,,Intersection 0.2,152,2.0,10.0
236,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
237,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
238,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
239,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
240,Random,sponges_networks,Random networks,,,Difference,885,,10.0
241,Random,sponges_networks,Random networks,,,Intersection 0.2,103,2.0,10.0
242,Random,sponges_networks,Random networks,,,Intersection 0.3,9,3.0,10.0
243,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
244,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
245,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
246,Degree,sponges_networks,Degree networks,,,Difference,820,,10.0
247,Degree,sponges_networks,Degree networks,,,Intersection 0.2,130,2.0,10.0
248,Degree,sponges_networks,Degree networks,,,Intersection 0.3,20,3.0,10.0
249,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
250,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
251,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
252,Random,sponges_networks,Random networks,,,Difference,880,,10.0
253,Random,sponges_networks,Random networks,,,Intersection 0.2,108,2.0,10.0
254,Random,sponges_networks,Random networks,,,Intersection 0.3,5,3.0,10.0
255,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
256,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
257,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
258,Degree,sponges_networks,Degree networks,,,Difference,804,,10.0
259,Degree,sponges_networks,Degree networks,,,Intersection 0.2,139,2.0,10.0
260,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
261,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
262,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
263,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
264,Random,sponges_networks,Random networks,,,Difference,866,,10.0
265,Random,sponges_networks,Random networks,,,Intersection 0.2,113,2.0,10.0
266,Random,sponges_networks,Random networks,,,Intersection 0.3,8,3.0,10.0
267,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
268,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
269,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
